assessment_name	assessment_number_questions	assessment_version	question_label	question_text	question_behavioral_trait	question_behavioral_trait_id	question_behavioral_trait_synset	question_direction	question_id	question_datatype	question_options
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD6	6. Dislikes/Avoids Tasks Requiring Attention	attentive: taking heed; giving close and thoughtful attention (a)	ed1d04b9-6067-42c2-8896-9ec402406b48	heedful.a.01	negative	61	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD7	7. Loses Things	careless: marked by lack of attention or consideration or forethought or thoroughness; not careful (a)	e0411d48-e1dc-47d2-b704-334fa357ed5f	careless.a.01	positive	62	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD8	8. Easily Distracted	distracted: having the attention diverted especially because of anxiety (s)	88217c6e-678f-4243-ad6a-45c6e27a50ba	distracted.s.01	positive	63	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD9	9. Forgetful in Daily Activities	forgetful: not mindful or attentive (a)	9ff8369d-627d-4cf0-bbb7-051ff344a45a	unmindful.a.01	positive	64	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD10	10. Fidget	restless: ceaselessly in motion (s)	ad39e0b3-0a3f-42a6-87d0-156972e83010	restless.s.02	positive	65	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD11	11. Difficulty Remaining Seated	restless: ceaselessly in motion (s)	ad39e0b3-0a3f-42a6-87d0-156972e83010	restless.s.02	positive	66	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD12	12. Runs or Climbs Excessively	overactive: more active than normal (s)	733534cf-830a-4590-a9a3-10425c1c4002	hyperactive.s.01	positive	67	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD35	35. Difficulty playing quietly	quiet: not showy or obtrusive (s)	11e55a52-44f7-4122-a0bb-39b7959ad63a	quiet.s.03	negative	49	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD13	13. Difficulty Playing Quietly	quiet: not showy or obtrusive (s)	11e55a52-44f7-4122-a0bb-39b7959ad63a	quiet.s.03	positive	68	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD13	13. Difficulty Playing Quietly	quiet: not showy or obtrusive (s)	11e55a52-44f7-4122-a0bb-39b7959ad63a	quiet.s.03	positive	26	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD14	14. On the Go/Acts Like Driven by Motor	overactive: more active than normal (s)	733534cf-830a-4590-a9a3-10425c1c4002	hyperactive.s.01	positive	69	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD15	15. Talks Excessively	talkative: unwisely talking too much (s)	370e613f-ba85-4b76-b9cc-3625a1ee349e	bigmouthed.s.01	positive	70	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD16	16. Blurts Out Answers	intrusive: tending to intrude (especially upon privacy) (a)	cfed290b-343f-4a22-901f-664e94f425e7	intrusive.a.01	positive	71	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD26	26. Difficulty following instructions (finishing)	finishing: finally be or do something (v)	550a0a9e-ee45-490d-bfcb-97ce12330c8e	finish_up.v.02	negative	40	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD18	18. Interrupts or Intrudes	intrusive: tending to intrude (especially upon privacy) (a)	cfed290b-343f-4a22-901f-664e94f425e7	intrusive.a.01	positive	73	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD17	17. Difficulty Waiting Turn	impatient: restless or short-tempered under delay or opposition (a)	f57617b1-c6e8-4b60-8802-df70cead1398	impatient.a.01	positive	72	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD24	24. Doesn't listen	listening: pay close attention to; give heed to (v)	9161fac3-b177-4937-b99b-aad97d5bd26c	heed.v.01	negative	79	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD26	26. Difficulty organizing tasks/activities	organized: methodical and efficient in arrangement or function (a)	868f66ca-9938-4eaf-9261-b4ec19842e1e	organized.a.02	negative	81	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD27	27. Avoidance of tasks with sustained mental effort	lazy: disinclined to work or exertion (s)	a2e18a9f-d76c-4b44-b4ae-d73bd150666e	faineant.s.01	positive	82	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD28	28. Loses things	careless: marked by lack of attention or consideration or forethought or thoroughness; not careful (a)	e0411d48-e1dc-47d2-b704-334fa357ed5f	careless.a.01	positive	83	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD29	29. Easily distracted	distracted: having the attention diverted especially because of anxiety (s)	88217c6e-678f-4243-ad6a-45c6e27a50ba	distracted.s.01	positive	84	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD30	30. Forgetful in daily activities	forgetful: not mindful or attentive (a)	9ff8369d-627d-4cf0-bbb7-051ff344a45a	unmindful.a.01	positive	85	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD31	31. Fidgets/Squirms	restless: ceaselessly in motion (s)	ad39e0b3-0a3f-42a6-87d0-156972e83010	restless.s.02	positive	86	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD32	32. Difficulty remaining seated	restless: ceaselessly in motion (s)	ad39e0b3-0a3f-42a6-87d0-156972e83010	restless.s.02	positive	87	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD33	33. Runs/Climbs excessively/Inappropriately	overactive: more active than normal (s)	733534cf-830a-4590-a9a3-10425c1c4002	hyperactive.s.01	positive	88	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD34	34. Difficulty playing quietly	quiet: not showy or obtrusive (s)	11e55a52-44f7-4122-a0bb-39b7959ad63a	quiet.s.03	negative	89	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD35	35. On the go/Driven by a motor	energetic: possessing or exerting or displaying energy (a)	ab8ff94d-3462-4c3e-8a07-ec1b4e948317	energetic.a.01	positive	90	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD36	36. Talks excessively	talkative: unwisely talking too much (s)	370e613f-ba85-4b76-b9cc-3625a1ee349e	bigmouthed.s.01	positive	91	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD37	37. Blurts out answers	intrusive: tending to intrude (especially upon privacy) (a)	cfed290b-343f-4a22-901f-664e94f425e7	intrusive.a.01	positive	92	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD38	38. Difficulty waiting turn	impatient: restless or short-tempered under delay or opposition (a)	f57617b1-c6e8-4b60-8802-df70cead1398	impatient.a.01	positive	93	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD39	39. Interrupts or Intrudes	intrusive: tending to intrude (especially upon privacy) (a)	cfed290b-343f-4a22-901f-664e94f425e7	intrusive.a.01	positive	94	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD25	25. Difficulty following instructions (finishing)	finishing: finally be or do something (v)	550a0a9e-ee45-490d-bfcb-97ce12330c8e	finish_up.v.02	negative	80	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD1	1. Makes a Lot of Careless Mistakes	careless: marked by lack of attention or consideration or forethought or thoroughness; not careful (a)	e0411d48-e1dc-47d2-b704-334fa357ed5f	careless.a.01	positive	14	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD23	23. Difficulty sustaining attention	attentive: taking heed; giving close and thoughtful attention (a)	ed1d04b9-6067-42c2-8896-9ec402406b48	heedful.a.01	negative	78	INT	1  YES  2  NO
Young Mania Rating Scale	10	C	YMRS1	1. Elevated Mood	joyful: full of high-spirited delight (s)	8d4820d8-ea5b-40e1-aba7-691a5d325a3b	elated.s.02	positive	134	INT	0.Absent  1.Mildly or possibly increased on questioning  2.Definite subjective elevation: optimistic  self-confident| Cheerful|  appropriate to content  3.Elevated  inappropriate to content|  humorous  4.Euphoric| inappropriate laughter| singing
Young Mania Rating Scale	10	C	YMRS2	2. Increased Motor Activity-Energy	restless: ceaselessly in motion (s)	ad39e0b3-0a3f-42a6-87d0-156972e83010	restless.s.02	positive	135	INT	0. Absent  1. Subjectively increased  2. Animated| gestures increased  3. Excessive energy| hyperactive at times| restless (can be calmed)  4. Motor excitement| continuous hyperactivity (cannot be calmed)
Young Mania Rating Scale	10	C	YMRS3	3. Sexual Interest	horny: feeling great sexual desire (s)	61f399af-3d9e-41ec-97f5-1924aac577bb	aroused.s.04	positive	136	INT	0. Normal| not increased  1. Mildly or possibly increased  2. Definite subjective increase on questioning  3. Spontaneous sexual content| elaborates on sexual matters| hypersexual by self-report  4. Overt sexual acts (toward patients  staff or interviewer)
Young Mania Rating Scale	10	C	YMRS4	4. Sleep	sleepy: ready to fall asleep (s)	17c7e6f2-0607-40fa-9798-10d96f37f071	sleepy.s.01	positive	137	INT	0. Reports no decrease in sleep  1. Sleeping less than normal amount by up to one hour  2. Sleeping less than normal by more than one hour  3. Reports decreased need for sleep  4. Denies need for sleep
Young Mania Rating Scale	10	C	YMRS5	5. Irritability	irritable: easily irritated or annoyed (s)	f45d98bd-5259-432a-9b8b-432df989dbf6	cranky.s.02	positive	138	INT	0. Absent  2. Subjectively increased  4. Irritable at times during interview| recent episodes of anger or annoyance on ward  6. Frequently irritable during interview| short  curt throughout  8. Hostile  uncooperative| interview impossible
Young Mania Rating Scale	10	C	YMRS6	6. Speech (Rate and Amount)	blurting: utter impulsively (v)	5c09c94e-7432-451b-847e-7acb08f16ecd	blurt_out.v.01	positive	139	INT	0. No increase  2. Feels talkative  4. Increased rate or amount at times  verbose at times  6. Push| consistently increased rate and amount| difficult to interrupt  8. Pressured| uninterruptible continuous speech
Young Mania Rating Scale	10	C	YMRS7	7. Language - Thought Disorder	pathological: caused by or evidencing a mentally disturbed condition (s)	3dd6856e-ac5e-4039-a44f-0315e77c81d9	pathological.s.02	positive	140	INT	0. Absent  1. Circumstantial| mild distractibility| quick thoughts  2. Distractible| loses goal of thought| changes topics frequently| racing thoughts  3. Flight of ideas| tangentiality| difficult to follow| rhyming echolalia  4. Incoherent|  communication impossible
Young Mania Rating Scale	10	C	YMRS8	8. Content	content: satisfied or showing satisfaction with things as they are (a)	b25cd8ee-7eff-43d8-914b-38fa066c9384	contented.a.01	positive	141	INT	0. Normal  2. Questionable plans| new interests  4. Special project(s)| hyper religious  6. Grandiose or paranoid ideas| ideas of reference  8. Delusions| hallucinations
Young Mania Rating Scale	10	C	YMRS9	9. Disruptive - Aggressive Behavior	aggressive: characteristic of an enemy or one eager to fight (s)	0a8a30a6-6388-436d-9e44-2bfda98e9e0e	aggressive.s.03	positive	142	INT	0. Absent cooperative  1. Sarcastic| loud at times guarded  2. Demanding| threats on ward  3. Threatens interviewer shouting| interview difficult  4. Assaultive| destructive|  interview impossible
Young Mania Rating Scale	10	C	YMRS11	11. Insight	insightful: exhibiting insight or clear and deep perception (s)	77c1fe7c-eb4d-4b32-b436-38670f53c35c	insightful.s.01	positive	144	INT	0. Present| admits illness| agrees with need for treatment  1. Possibly ill  2. Admits behavior change but denies illness  3. Admits possible change in behavior  but denies illness  4. Denies any behavior change
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON1	1. Depression	depressed: filled with melancholy and despondency (s)	6d5fff27-e850-4a53-a910-8b4152db24fe	gloomy.s.02	positive	149	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON2	2. Feelings of Guilt	guilty: showing a sense of guilt (s)	26033e36-fb05-46d9-8198-2571597c53a8	guilty.s.02	positive	150	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON3	3. Suicide	suicidal: dangerous to yourself or your interests (s)	4c46abe3-311e-4cfe-8503-5fc3fc9fbc25	self-destructive.s.01	positive	151	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON4	4. Insomnia, Early	insomnia: an inability to sleep; chronic sleeplessness (n)	f314f549-6a4e-41c0-adc8-244a6915c015	insomnia.n.01	positive	152	INT	0~2
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON5	5. Insomnia, Middle	insomnia: an inability to sleep; chronic sleeplessness (n)	f314f549-6a4e-41c0-adc8-244a6915c015	insomnia.n.01	positive	153	INT	0~2
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON6	6. Insomnia, Late	insomnia: an inability to sleep; chronic sleeplessness (n)	f314f549-6a4e-41c0-adc8-244a6915c015	insomnia.n.01	positive	154	INT	0~2
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON8	8. Retardation	retarded: relatively slow in mental or emotional or physical development (a)	cd7cc573-8f2d-46eb-9be9-1e45504ba905	retarded.a.01	positive	156	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON9	9. Agitation	agitated: troubled emotionally and usually deeply (a)	719b3639-3bbf-4769-ab76-714d3eba28d3	agitated.a.01	positive	157	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON11	11. Anxiety, Somatic	anxious: causing or fraught with or showing anxiety (s)	a81c5d4b-7342-4f83-9684-ca7ccf38220b	anxious.s.02	positive	159	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON10	10. Anxiety, Psychic	worried: mentally upset over possible misfortune or danger etc (s)	1cb7d554-62b6-47b5-9306-2f4cb4116408	apprehensive.s.02	positive	158	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON15	15. Hypochondriasis	hypochondriac: suffering from hypochondria (s)	619dad1a-195b-4fcf-8f03-5c523da4de51	hypochondriac.s.01	positive	163	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON17	17. Insight	insightful: exhibiting insight or clear and deep perception (s)	77c1fe7c-eb4d-4b32-b436-38670f53c35c	insightful.s.01	positive	166	INT	0~2
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON19	19. Depresonalization and Derealization	depersonalization: emotional dissociative disorder in which there is loss of contact with your own personal reality accompanied by feelings of unreality and strangeness (n)	092f9201-8aab-49fc-9847-ebc60f37678e	depersonalization.n.01	positive	169	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON20	20. Paranoid Symptoms	paranoid: suffering from paranoia (s)	7558fe30-58d9-4d14-8b46-738e8afbea7c	paranoid.s.01	positive	170	INT	0~3
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON22	22. Fatigability	fatigued: drained of energy or effectiveness; extremely tired; completely exhausted (s)	2129b601-5c63-4ba8-aeb9-d8948c6f2034	exhausted.s.01	positive	172	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON23	23. Social Withdrawal	withdrawn: withdrawn from society; seeking solitude (s)	21e9a0d4-db3e-4458-b40b-d0b5c59297d1	recluse.s.01	positive	173	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON24	24. Appetite Increase	famished: extremely hungry (s)	509f53d0-eaf2-4a3a-940a-9d04bb27f173	famished.s.01	positive	174	INT	0~3
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON25	25. Increased Eating	eating: the act of consuming food (n)	a870d9e2-ebf3-4d8d-b35a-b0419505f4dd	eating.n.01	positive	175	INT	0~3
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON26	26. Carbohydrate Craving	craving: an intense desire for some particular thing (n)	ed56faec-b202-4a80-a81d-bd707137b8a7	craving.n.01	positive	176	INT	0~3
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON28	28. Hypersomnia	hypersomnia: an inability to stay awake (n)	e153a851-0541-48e7-89a9-07b273e2729f	hypersomnia.n.01	positive	178	INT	0~4
Hamilton Psychiatric Rating Scale for Depression	21		HAMILTON21	21. Obsessional and Compulsive Symptoms	obsessive-compulsive: characterized by obsessions and compulsions (s)	dda995f0-0a14-4a86-8016-e22e2d9a6718	obsessive-compulsive.s.01	positive	171	INT	0~2
Scale for the Assessment of Negative Symptoms	24		SANS1	1. Unchanging Facial Expression	expressive: characterized by expression (s)	5190f1a1-313d-466c-87b5-187761bfff1e	expressive.s.01	negative	989	INT	negative
Scale for the Assessment of Negative Symptoms	24		SANS2	2. Decreased Spontaneous Movements	retarded: cause to move more slowly or operate at a slower rate (v)	48667762-8e38-4af0-9732-61c6893a9090	retard.v.01	positive	990	INT	positive
Scale for the Assessment of Negative Symptoms	24		SANS3	3. Paucity of Expressive Gestures	expressive: characterized by expression (s)	5190f1a1-313d-466c-87b5-187761bfff1e	expressive.s.01	negative	991	INT	negative
Scale for the Assessment of Negative Symptoms	24		SANS4	4. Poor Eye Contact	gaze: look at with fixed eyes (v)	8bed2c3e-fe4b-41bc-9279-6252c6a30ba9	gaze.v.01	negative	992	INT	negative
Scale for the Assessment of Negative Symptoms	24		SANS5	5. Affective Nonresponsivity	blank: void of expression (s)	9e7c8347-7c4f-4a34-b49e-56cf6c8d3a80	blank.s.02	positive	993	INT	positive
Scale for the Assessment of Negative Symptoms	24		SANS6	6. Lack of Vocal Inflections	monotone: sounded or spoken in a tone unvarying in pitch (s)	dcabbabd-d26a-4e4a-8498-eec72ca80457	flat.s.11	positive	994	INT	positive
